date,time,ecg
11/10/2017,10:17:02.352,248
11/10/2017,10:17:02.353,243
11/10/2017,10:17:02.404,14
11/10/2017,10:17:02.405,11
11/10/2017,10:17:02.459,245
11/10/2017,10:17:02.461,246
11/10/2017,10:17:02.502,252
11/10/2017,10:17:02.503,27
11/10/2017,10:17:02.549,212
11/10/2017,10:17:02.549,206
11/10/2017,10:17:02.606,250
11/10/2017,10:17:02.607,252
11/10/2017,10:17:02.647,4
11/10/2017,10:17:02.648,4
11/10/2017,10:17:02.699,11
11/10/2017,10:17:02.700,14
11/10/2017,10:17:02.747,46
11/10/2017,10:17:02.748,58
11/10/2017,10:17:02.792,61
11/10/2017,10:17:02.793,47
11/10/2017,10:17:02.842,254
11/10/2017,10:17:02.843,253
11/10/2017,10:17:02.895,248
11/10/2017,10:17:02.898,249
11/10/2017,10:17:02.943,248
11/10/2017,10:17:02.946,251
11/10/2017,10:17:02.992,0
11/10/2017,10:17:02.993,1
11/10/2017,10:17:03.033,255
11/10/2017,10:17:03.034,255
11/10/2017,10:17:03.093,3
11/10/2017,10:17:03.097,3
11/10/2017,10:17:03.142,6
11/10/2017,10:17:03.143,254
11/10/2017,10:17:03.295,23
11/10/2017,10:17:03.304,30
11/10/2017,10:17:03.305,1
11/10/2017,10:17:03.306,2
11/10/2017,10:17:03.307,4
11/10/2017,10:17:03.308,18
11/10/2017,10:17:03.331,64
11/10/2017,10:17:03.332,208
11/10/2017,10:17:03.374,253
11/10/2017,10:17:03.379,254
11/10/2017,10:17:03.426,255
11/10/2017,10:17:03.428,255
11/10/2017,10:17:03.477,11
11/10/2017,10:17:03.478,12
11/10/2017,10:17:03.521,47
11/10/2017,10:17:03.522,59
11/10/2017,10:17:03.579,79
11/10/2017,10:17:03.580,65
11/10/2017,10:17:03.628,249
11/10/2017,10:17:03.634,243
11/10/2017,10:17:03.670,235
11/10/2017,10:17:03.671,234
11/10/2017,10:17:03.719,244
11/10/2017,10:17:03.721,243
11/10/2017,10:17:03.766,252
11/10/2017,10:17:03.768,253
11/10/2017,10:17:03.818,0
11/10/2017,10:17:03.819,255
11/10/2017,10:17:03.863,251
11/10/2017,10:17:03.865,252
11/10/2017,10:17:03.926,249
11/10/2017,10:17:03.928,242
11/10/2017,10:17:03.959,20
11/10/2017,10:17:04.022,16
11/10/2017,10:17:04.023,241
11/10/2017,10:17:04.024,241
11/10/2017,10:17:04.062,246
11/10/2017,10:17:04.063,15
11/10/2017,10:17:04.107,1
11/10/2017,10:17:04.108,174
11/10/2017,10:17:04.154,243
11/10/2017,10:17:04.210,246
11/10/2017,10:17:04.213,251
11/10/2017,10:17:04.214,251
11/10/2017,10:17:04.253,6
11/10/2017,10:17:04.264,11
11/10/2017,10:17:04.303,42
11/10/2017,10:17:04.304,55
11/10/2017,10:17:04.357,56
11/10/2017,10:17:04.359,38
11/10/2017,10:17:04.403,233
11/10/2017,10:17:04.406,227
11/10/2017,10:17:04.447,222
11/10/2017,10:17:04.451,222
11/10/2017,10:17:04.508,229
11/10/2017,10:17:04.509,233
11/10/2017,10:17:04.548,239
11/10/2017,10:17:04.549,239
11/10/2017,10:17:04.602,241
11/10/2017,10:17:04.603,240
11/10/2017,10:17:04.649,245
11/10/2017,10:17:04.711,245
11/10/2017,10:17:04.712,239
11/10/2017,10:17:04.742,8
11/10/2017,10:17:04.743,255
11/10/2017,10:17:04.801,246
11/10/2017,10:17:04.802,247
11/10/2017,10:17:04.845,69
11/10/2017,10:17:04.847,84
11/10/2017,10:17:04.895,226
11/10/2017,10:17:04.899,249
11/10/2017,10:17:04.938,255
11/10/2017,10:17:04.939,3
11/10/2017,10:17:04.990,13
11/10/2017,10:17:04.992,13
11/10/2017,10:17:05.034,29
11/10/2017,10:17:05.035,37
11/10/2017,10:17:05.096,81
11/10/2017,10:17:05.133,85
11/10/2017,10:17:05.137,37
11/10/2017,10:17:05.138,19
11/10/2017,10:17:05.183,231
11/10/2017,10:17:05.185,232
11/10/2017,10:17:05.234,240
11/10/2017,10:17:05.236,243
11/10/2017,10:17:05.287,252
11/10/2017,10:17:05.288,254
11/10/2017,10:17:05.327,254
11/10/2017,10:17:05.329,254
11/10/2017,10:17:05.377,255
11/10/2017,10:17:05.378,1
11/10/2017,10:17:05.429,248
11/10/2017,10:17:05.432,250
11/10/2017,10:17:05.483,22
11/10/2017,10:17:05.484,7
11/10/2017,10:17:05.522,244
11/10/2017,10:17:05.523,241
11/10/2017,10:17:05.573,11
11/10/2017,10:17:05.574,67
11/10/2017,10:17:05.619,211
11/10/2017,10:17:05.620,234
11/10/2017,10:17:05.665,244
11/10/2017,10:17:05.667,245
11/10/2017,10:17:05.721,1
11/10/2017,10:17:05.723,2
11/10/2017,10:17:05.770,23
11/10/2017,10:17:05.772,28
11/10/2017,10:17:05.829,81
11/10/2017,10:17:05.831,90
11/10/2017,10:17:05.866,74
11/10/2017,10:17:05.867,54
11/10/2017,10:17:05.911,0
11/10/2017,10:17:05.970,0
11/10/2017,10:17:05.980,251
11/10/2017,10:17:05.981,254
11/10/2017,10:17:06.010,7
11/10/2017,10:17:06.011,10
11/10/2017,10:17:06.058,13
11/10/2017,10:17:06.059,11
11/10/2017,10:17:06.105,11
11/10/2017,10:17:06.106,9
11/10/2017,10:17:06.157,6
11/10/2017,10:17:06.158,21
11/10/2017,10:17:06.215,26
11/10/2017,10:17:06.217,12
11/10/2017,10:17:06.254,1
11/10/2017,10:17:06.255,2
11/10/2017,10:17:06.313,94
11/10/2017,10:17:06.318,114
11/10/2017,10:17:06.352,253
11/10/2017,10:17:06.353,0
11/10/2017,10:17:06.404,9
11/10/2017,10:17:06.405,9
11/10/2017,10:17:06.446,15
11/10/2017,10:17:06.449,19
11/10/2017,10:17:06.498,38
11/10/2017,10:17:06.499,49
11/10/2017,10:17:06.676,97
11/10/2017,10:17:06.685,105
11/10/2017,10:17:06.688,54
11/10/2017,10:17:06.692,32
11/10/2017,10:17:06.697,250
11/10/2017,10:17:06.698,245
11/10/2017,10:17:06.700,247
11/10/2017,10:17:06.701,252
11/10/2017,10:17:06.738,0
11/10/2017,10:17:06.741,1
11/10/2017,10:17:06.786,1
11/10/2017,10:17:06.788,255
11/10/2017,10:17:06.834,249
11/10/2017,10:17:06.838,248
11/10/2017,10:17:06.887,245
11/10/2017,10:17:06.893,10
11/10/2017,10:17:06.933,2
11/10/2017,10:17:06.934,240
11/10/2017,10:17:06.984,227
11/10/2017,10:17:06.984,227
11/10/2017,10:17:07.032,59
11/10/2017,10:17:07.033,79
11/10/2017,10:17:07.085,222
11/10/2017,10:17:07.128,225
11/10/2017,10:17:07.138,239
11/10/2017,10:17:07.139,242
11/10/2017,10:17:07.181,254
11/10/2017,10:17:07.182,0
11/10/2017,10:17:07.238,17
11/10/2017,10:17:07.244,26
11/10/2017,10:17:07.276,73
11/10/2017,10:17:07.279,79
11/10/2017,10:17:07.442,33
11/10/2017,10:17:07.447,14
11/10/2017,10:17:07.450,233
11/10/2017,10:17:07.455,227
11/10/2017,10:17:07.456,226
11/10/2017,10:17:07.457,228
11/10/2017,10:17:07.474,235
11/10/2017,10:17:07.476,237
11/10/2017,10:17:07.519,237
11/10/2017,10:17:07.520,237
11/10/2017,10:17:07.575,238
11/10/2017,10:17:07.576,235
11/10/2017,10:17:07.613,234
11/10/2017,10:17:07.664,234
11/10/2017,10:17:07.666,228
11/10/2017,10:17:07.713,255
11/10/2017,10:17:07.722,247
11/10/2017,10:17:07.762,230
11/10/2017,10:17:07.763,228
11/10/2017,10:17:07.811,251
11/10/2017,10:17:07.812,55
11/10/2017,10:17:07.864,207
11/10/2017,10:17:07.866,227
11/10/2017,10:17:07.910,234
11/10/2017,10:17:07.910,237
11/10/2017,10:17:07.966,237
11/10/2017,10:17:07.968,241
11/10/2017,10:17:08.023,252
11/10/2017,10:17:08.026,2
11/10/2017,10:17:08.059,40
11/10/2017,10:17:08.066,51
11/10/2017,10:17:08.104,35
11/10/2017,10:17:08.114,14
11/10/2017,10:17:08.152,224
11/10/2017,10:17:08.153,219
11/10/2017,10:17:08.200,217
11/10/2017,10:17:08.201,218
11/10/2017,10:17:08.253,227
11/10/2017,10:17:08.257,227
11/10/2017,10:17:08.298,238
